regular_sentence	honorific_sentence	error_sentence	honorific_type	regular_situation	honorific_situation
たまには羽目をはずして、遊ぶことも必要だと思う。	たまには羽目をはずして、お遊びになることも必要だと思います。	たまには羽目をはずして、お遊びすることも必要だと思います。	sh	親友に対する発言	課長から社長に対する発言
あなたの番だよ、カードをめくってね。	あなたの番です。カードをおめくりになってください。	あなたの番です。カードをおめくりしてください。	sh	恋人に対する発言	営業社員から取引先の重役に対する発言
皆、揃ったかな？	皆さんお揃いになりましたか。	皆さんお揃いしましたか。	sh	同級生に対する発言	部下から上司に対する発言
また新たにチームを結成するの？それは楽しみだね。	また新たにチームを結成なさるんですか、それは楽しみですね。	また新たにチームをご結成するんですか、それは楽しみですね。	sh	兄弟姉妹に対する発言	部長から社長に対する発言
集合の時間を忘れないようにお願いね。	ご集合の時間をお忘れにならないようにお願いいたします。	ご集合の時間をお忘れしないようにお願いいたします。	sh	職場の同僚に対する発言	新入社員から社長に対する発言
八重洲口の銀の鈴に集合してね。	八重洲口の銀の鈴に集合なさってください。	八重洲口の銀の鈴にご集合してください。	sh	親友に対する発言	新入社員から部長に対する発言
これだけのワインを揃えるのは、大変だったね。	これだけのワインをお揃えになるのは、大変だったでしょう。	これだけのワインをお揃えするのは、大変だったでしょう。	sh	恋人に対する発言	新入社員から課長に対する発言
連句の仲間を、募っているの？	連句のお仲間を、お募りになっているのですか？	連句のお仲間を、お募りしているのですか？	sh	同級生に対する発言	課長から部長に対する発言
似合うやつを、私が選ぼうか？	お似合いの品を、私がお選びいたしましょうか？	お似合いの品を、私がお選びなさいましょうか？	sh	兄弟姉妹に対する発言	店員から客に対する発言
いい人を選んだね。	いい人をお選びになりましたね。	いい人をお選びしましたね。	sh	職場の同僚に対する発言	式場のスタッフから新婚の客に対する発言
よく考えてからの方がいいと思うよ。	十分に吟味なさる方がよろしいかと存じます。	十分に吟味し申し上げる方がよろしいかと存じます。	sh	親友に対する発言	店員から客に対する発言
最強メンバーを選んだんだね！	最強メンバーを選抜なさいましたね！	最強メンバーをご選抜しましたね！	sh	恋人に対する発言	選手から監督に対する発言
応募作品を選考してね	応募作品を選考なさってください。	応募作品をご選考してください。	sh	同級生に対する発言	弟子から師匠に対する発言
りんごは、糖度で選別するそうだね。	りんごは、糖度で選別なさるそうですね。	りんごは、糖度でご選別するそうですね。	sh	兄弟姉妹に対する発言	インタビュアーからインタビュイーに対する発言
何年ぶりに日本へ帰るの？	何年ぶりに日本に帰られるのですか？	何年ぶりに日本にお帰りするのですか？	sh	職場の同僚に対する発言	生徒から先生に対する発言
午前の便で帰るのね。	午前の便で帰京されるのですね	午前の便でご帰京するのですね	sh	親友に対する発言	秘書から社長に対する発言
久々に帰省出来て、家族も喜んだでしょう。	久しぶりに帰省されて、ご家族がお喜びになったでしょう。	久しぶりに帰省し申し上げて、ご家族がお喜びになったでしょう。	sh	恋人に対する発言	大学生から指導教員に対する発言
とても驚いたと思う。	さぞ驚かれたことと思います。	さぞお驚きしたことと思います。	sh	同級生に対する発言	学生から先生に対する発言
そんなに緊張しないで、気楽にしてほしい。	そんなに緊張なさらないで、どうぞお気を楽に。	そんなに緊張し申し上げないで、どうぞお気を楽に。	sh	兄弟姉妹に対する発言	式場スタッフから客に対する発言
思わない結果で動揺しているね。	思わぬ結果に、かなり動揺なさっているようですね。	思わぬ結果に、かなりご動揺しているようですね。	sh	職場の同僚に対する発言	部下から上司に対する発言
そんなに焦ると、身体によくないよ。	そんなにあくせくなさると、お身体に良くありません。	そんなにあくせくし申し上げると、お身体に良くありません。	sh	親友に対する発言	部長から社長に対する発言
焦る気持ちも分かるが、ここはじっと我慢だよ。	焦られる気持ちも分かりますが、ここはじっと我慢だと思います。	お焦りする気持ちも分かりますが、ここはじっと我慢だと思います。	sh	恋人に対する発言	新入社員から社長に対する発言
そんなに焦ると、できるものもできないよ。	そんなにお焦りになると、できるものもできなくなりますよ。	そんなにお焦りすると、できるものもできなくなりますよ。	sh	同級生に対する発言	新入社員から部長に対する発言
そんなことでおろおろするのは情けない。	そんなことでおろおろなさるなんて、情けないですよ。	そんなことでおろおろし申し上げるなんて、情けないですよ。	sh	兄弟姉妹に対する発言	新入社員から課長に対する発言
そんなことで慌てないでほしい。	こんなことで狼狽なさらないで…。	こんなことでご狼狽しないで…。	sh	職場の同僚に対する発言	課長から部長に対する発言
あなたがそんなに混乱するなんて珍しい。	あなたがそんなに混乱なさるなんて、珍しいですね。	あなたがそんなにご混乱するなんて、珍しいですね。	sh	親友に対する発言	課長から社長に対する発言
例の件だけど、何か聞いてない？	例の一件について、何かお聞きになっていませんか？	例の一件について、何かお聞きしていませんか？	sh	恋人に対する発言	高校生から教員に対する発言
今日も、好きなジャズ聞いてるんだね。	今日も、お好きなジャズをお聞きになっているんですね。	今日も、お好きなジャズをお聞きしているんですね。	sh	同級生に対する発言	生徒から先生に対する発言
長いのに聞いてくれてありがとね。	長時間のご清聴、ありがとうございました。	長時間のご拝聴、ありがとうございました。	sh	兄弟姉妹に対する発言	大学生から指導教員に対する発言
反対意見も、少しは聞いてあげたら？	反対の意見にも、少しは耳をお貸しになったら？	反対の意見にも、少しは耳をお貸ししたら？	sh	職場の同僚に対する発言	秘書から社長に対する発言
つまらんことだよ。聞き流しちゃって。	つまらぬことです。どうぞ、お聞き流しください。	つまらぬことです。どうぞ、お聞き流し申し上げてください。	sh	親友に対する発言	学生から先生に対する発言
今の気持ちを教えてよ。	今のお気持ちをぜひ、お聞かせください。	今のお気持ちをぜひ、お聞かせしてください。	sh	恋人に対する発言	インタビュアーからインタビュイーに対する発言
短期間で、連句がここまで上達するなんて、驚いたよ。	短期間で、連句がここまで向上なされるとは、驚きました。	短期間で、連句がここまでご向上するとは、驚きました。	sh	同級生に対する発言	スタッフから歌会の参加者に対する発言
もうこれ以上あなたが説明する必要はないと思うけど。	もうこれ以上あなたが説明なさる必要はないと思いますけど。	もうこれ以上あなたがご説明する必要はないと思いますけど。	sh	兄弟姉妹に対する発言	部下から上司に対する発言
来シーズンは戦力外だと宣告したの？	来シーズンは、戦力外だと宣告なさったんですか？	来シーズンは、戦力外だとご宣告したんですか？	sh	職場の同僚に対する発言	インタビュアーからインタビュイーに対する発言
この件については、心配いらないよ。	この件については、懸念なさることはありません。	この件については、ご心配することはありません。	sh	親友に対する発言	秘書から社長に対する発言
親心とはいえ、そこまで心配することじゃないんじゃない？	親心とはいえ、そこまでご案じになることではないのでは？	親心とはいえ、そこまでご案じすることではないのでは？	sh	恋人に対する発言	カウンセラーから客に対する発言
本人には伝えた？	先生、彼にはお伝えになりましたか？	先生、彼にはお伝えしましたか？	sh	同級生に対する発言	秘書から先生に対する発言
あなたが帰ってくるの、みんな首を長くして待ってるよ。	あなたがご帰国なさるのを、みんな首を長くして待っています。	あなたがご帰国するのを、みんな首を長くして待っています。	sh	兄弟姉妹に対する発言	高校生から教員に対する発言
どっちも捨てがたい、迷うに決まってるよ。	どちらも捨てがたい、お迷いになるのは当然です。	どちらも捨てがたい、お迷いするのは当然です。	sh	職場の同僚に対する発言	店員から客に対する発言
あの献金は、返した方が良いのでは？	あの献金は、お返しになった方がよろしいのでは？	あの献金は、お返しする方がよろしいのでは？	sh	親友に対する発言	秘書から社長に対する発言
車は会社に返したの？	車は会社に、お返しになったんですか？	車は会社に、お返ししたんですか？	sh	恋人に対する発言	部下から上司に対する発言
図書館で借りた本は返したの？	図書館で借りた本は返却なさったんですか？	図書館で借りた本はご返却したんですか？	sh	同級生に対する発言	秘書から社長に対する発言
昨日の資料、速達で返して。	先日の資料、速達でご返送ください。	先日の資料、速達でご返送してください。	sh	兄弟姉妹に対する発言	部長から社長に対する発言
返送する時は、こわれ物のシールを貼ってね	返送なさる時は、こわれ物のシールを貼ってくださいね。	ご返送する時は、こわれ物のシールを貼ってくださいね。	sh	職場の同僚に対する発言	新入社員から社長に対する発言
色が違うなら返品した方が良いよ。	色が違うなら返品なさった方がよろしいですよ。	色が違うならご返品する方がよろしいですよ。	sh	親友に対する発言	新入社員から部長に対する発言
記念の年だし、優勝旗は返す必要ないよ。	記念の年ですから、優勝旗を返還なさる必要はありません。	記念の年ですから、優勝旗をご返還する必要はありません。	sh	恋人に対する発言	生徒から先生に対する発言
選り好みするのは君の自由だけど。	選り好みなさるのはあなたのご自由ですが。	選り好み申し上げるのはあなたのご自由ですが。	sh	同級生に対する発言	新入社員から課長に対する発言
次の集まりの時に、細かい部分を知らせるね。	次のお集まりの時に、細目をお知らせいたします。	次のお集まりの時に、細目をお知らせなさいます。	oh	兄弟姉妹に対する発言	課長から部長に対する発言
グループの結成十周年と聞いたよ。早いね。	グループご結成十周年と伺いました、早いものですね。	グループの結成十周年とお聞きになりました。早いものですね。	oh	職場の同僚に対する発言	インタビュアーからインタビュイーに対する発言
必要なメンバーは、私が集めよう。	必要なメンバーは、私がお集めしましょう。	必要なメンバーは、私がお集めなさいましょう。	oh	親友に対する発言	部長から社長に対する発言
プレゼント？良さそうなのを見立てようか？	プレゼントですか？良さそうなのをお見立てしましょうか？	プレゼントですか？良さそうなのをお見立てなさいましょうか？	oh	恋人に対する発言	店員から客に対する発言
空港まで迎えに行くよ。	空港までお迎えにあがります。	空港までお迎えなさいます。	oh	同級生に対する発言	秘書から社長に対する発言
その件は、まだ詳しく聞いてないな。	その件については、まだ詳しく伺っておりませんけど。	その件については、まだ詳しくお聞きなさっておりませんけど。	oh	兄弟姉妹に対する発言	大学生から指導教員に対する発言
そのことなら、後でゆっくり聞くよ。	そのことでしたら、後でゆっくりお聞きしますよ。	そのことでしたら、後でゆっくりお聞きなさいますよ。	oh	職場の同僚に対する発言	秘書から社長に対する発言
ありがたい話が聞けて、幸運だったよ。	ご高説を拝聴する機会に恵まれ、幸運でした。	ご高説を聞きなさる機会に恵まれ、幸運でした。	oh	親友に対する発言	学生から先生に対する発言
嬉しいニュースを聞かせてあげるよ。	嬉しいニュースをお聞かせします。	嬉しいニュースをお聞かせなさいます。	oh	恋人に対する発言	高校生から教員に対する発言
ちょっと聞いてよ。	ちょっとお耳を拝借します。	ちょっと聞きなさいます。	oh	同級生に対する発言	部下から上司に対する発言
確かに決まりは決まりだが、そこを何とか頼むよ。	確かに決まりは決まりですが、そこを何とかお願いできませんか。	確かに決まりは決まりですが、そこを何とか頼みなさいませんか。	oh	兄弟姉妹に対する発言	大学生から指導教員に対する発言
そこのところ、頼む。	そこのところ、お願いいたします。	そこのところ、お頼みなさいます。	oh	職場の同僚に対する発言	部長から社長に対する発言
息子の件、よろしく頼む。	息子の件、どうかよろしくお頼みもうします。	息子の件、どうかよろしくお頼みなさいます。	oh	親友に対する発言	親から息子の担任の先生に対する発言
事の重大さを告げるのが、私の仕事なんだよ。	事の重大さをお告げするのが、私の仕事なんです。	事の重大さをお告げなさるのが、私の仕事なんです。	oh	恋人に対する発言	医者から患者に対する発言
句会の日時の変更、確かに伝えた。	句会の日時の変更、確かにお伝えしました。	句会の日時の変更、確かにお伝えなさいました。	oh	同級生に対する発言	受付から参加者に対する発言
研修の日程をメールで知らせるよ。	研修の日程をメールでお知らせしましょう。	研修の日程をメールでお知らせなさいましょう。	oh	兄弟姉妹に対する発言	新入社員から社長に対する発言
伝言を預かっている。	ご伝言を、お預かりしております。	ご伝言を、お預かりなさっております	oh	職場の同僚に対する発言	新入社員から部長に対する発言
心配かけてごめんね。	ご心配おかけしました。	ご心配おかけなさいました。	oh	親友に対する発言	高校生から教員に対する発言
借りた資料は明日必ず返すね。	お借りした資料、明日必ずお返しします。	お借りした資料、明日必ずお返しなさいます。	oh	恋人に対する発言	課長から部長に対する発言
怪我したの。新しい物と交換するね。	傷がありますね。新しいものとお取替えいたします。	傷がありますね。新しいものとお取替えなさいます。	oh	同級生に対する発言	店員から客に対する発言
パソコン修理なら、私らでやるよ。	パソコン修理でしたら、私どもが承ります。	パソコン修理でしたら、私どもが引き受けなさいます。	oh	兄弟姉妹に対する発言	修理屋から客に対する発言
返信は、一週間以内にお願いね。	ご返信でしたら、一週間以内にお願いいたします。	ご返信でしたら、一週間以内にお願いなさいます。	oh	職場の同僚に対する発言	課長から部長に対する発言